column_name,data_type,max_length,is_nullable,column_id
item_rollup,nvarchar,900,True,1
Goal,nvarchar,900,True,2
_3DX_Revenue,nvarchar,900,True,3
Altium_PCBWorks,nvarchar,900,True,4
AM_Software,nvarchar,900,True,5
AM_Support,nvarchar,900,True,6
Artec,nvarchar,900,True,7
CAMWorks_Seats,nvarchar,900,True,8
CATIA,nvarchar,900,True,9
Consumables,nvarchar,900,True,10
Core_New_UAP,nvarchar,900,True,11
Creaform,nvarchar,900,True,12
Delmia,nvarchar,900,True,13
EPDM_CAD_Editor,nvarchar,900,True,14
FDM,nvarchar,900,True,15
Formlabs,nvarchar,900,True,16
HV_Simulation,nvarchar,900,True,17
Metals,nvarchar,900,True,18
Misc_Seats,nvarchar,900,True,19
Others_Misc,nvarchar,900,True,20
P3,nvarchar,900,True,21
PolyJet,nvarchar,900,True,22
Post_Processing,nvarchar,900,True,23
Pro_Prem_New_UAP,nvarchar,900,True,24
SAF,nvarchar,900,True,25
Service,nvarchar,900,True,26
Simulation,nvarchar,900,True,27
SLA,nvarchar,900,True,28
SpareParts,nvarchar,900,True,29
Success_Plan,nvarchar,900,True,30
SW_Electrical,nvarchar,900,True,31
SW_Inspection,nvarchar,900,True,32
SW_Plastics,nvarchar,900,True,33
SWX_Core,nvarchar,900,True,34
SWX_Pro_Prem,nvarchar,900,True,35
Training,nvarchar,900,True,36
Unidentified,nvarchar,900,True,37
YxC_Renewal,nvarchar,900,True,38
