product_key,tag_rows,goal_count
3DP Training,1,1
3DX Revenue,1,1
Altium/PCBWorks,1,1
AM Software,1,1
AM Support,1,1
Artec,1,1
CAMWorks Seats,1,1
CATIA,1,1
Consumables,1,1
Core New UAP,1,1
Creaform,1,1
Delmia,1,1
Draftsight,1,1
EPDM CAD Editor Seats,1,1
FDM,1,1
FormLabs,1,1
GeoMagic,1,1
HV Simulation,1,1
Metals,1,1
Misc Seats,1,1
New Logo,1,1
Other/Misc,1,1
P3,1,1
Polyjet,1,1
Post Process,1,1
Post Processing,1,1
Pro Prem New UAP,1,1
SAF,1,1
Service,1,1
Simulation,1,1
SLA,1,1
Spare Parts/Repair Parts/Time & Materials,1,1
Success Plan,1,1
SW Electrical,1,1
SW Inspection,1,1
SW Plastics,1,1
SWX Core,1,1
SWX Pro Prem,1,1
Training,1,1
Unidentified,1,1
YxC Renewal,1,1
SWOOD,1,0
