SalesOrderId,new_revenue,legacy_revenue,revenue_diff,new_amount2,new_gp,legacy_gp,gp_diff,new_term_gp,legacy_term_gp,term_gp_diff,abs_revenue_diff,abs_gp_diff,abs_term_gp_diff
10712815,454.25,,454.25,363.4,90.85,,90.85,0.0,,0.0,454.25,90.85,0.0
10712933,1619.0,324.0,1295.0,777.0,680.0,162.0,518.0,0.0,0.0,0.0,1295.0,518.0,0.0
10713066,308.9,308.9,0.0,148.14,129.76,129.76,0.0,2.22,2.22,0.0,0.0,0.0,0.0
10713266,3329.83,,3329.83,2663.86,665.97,,665.97,0.0,,0.0,3329.83,665.97,0.0
10713701,1869.0,374.0,1495.0,897.0,785.0,187.0,598.0,0.0,0.0,0.0,1495.0,598.0,0.0
10714937,628.0,628.0,0.0,533.8,94.2,94.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10715220,2317.0,2317.0,0.0,1951.4,365.6,365.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10715223,846.0,846.0,0.0,507.6,338.4,338.4,0.0,7.58,7.58,0.0,0.0,0.0,0.0
10716091,3738.0,748.0,2990.0,1794.0,1570.0,374.0,1196.0,0.0,0.0,0.0,2990.0,1196.0,0.0
10716441,3750.0,3750.0,0.0,,3750.0,3750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10716559,522.0,522.0,0.0,443.7,78.3,78.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10716710,1376.0,1376.0,0.0,1169.6,206.4,206.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10717077,5700.24,5700.24,0.0,3135.0,2565.24,2565.24,0.0,2565.24,2565.24,0.0,0.0,0.0,0.0
10717192,3525.0,3525.0,0.0,1833.0,1339.5,1339.5,0.0,987.0,987.0,0.0,0.0,0.0,0.0
10717209,1147.16,1147.16,0.0,745.66,401.5,401.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10717478,0.0,0.0,0.0,165.0,-165.0,-165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10717745,3090.0,3090.0,0.0,2626.5,463.5,463.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10717778,324.0,324.0,0.0,1569.92,-1245.92,-1245.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10717996,15389.25,15389.25,0.0,8784.42,5994.6,5994.6,0.0,76.06,76.06,0.0,0.0,0.0,0.0
10718331,18858.09,1963.0,16895.09,10137.49,7739.1,981.5,6757.6,0.0,0.0,0.0,16895.09,6757.6,0.0
10719231,1619.0,324.0,1295.0,777.0,680.0,162.0,518.0,0.0,0.0,0.0,1295.0,518.0,0.0
10719349,4320.0,4320.0,0.0,2073.6,1814.4,1814.4,0.0,30.97,30.97,0.0,0.0,0.0,0.0
10720454,456.0,456.0,0.0,387.6,68.4,68.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10720903,598.0,598.0,0.0,472.42,125.58,125.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10721021,3525.0,3525.0,0.0,1692.0,1480.5,1480.5,0.0,25.27,25.27,0.0,0.0,0.0,0.0
10721590,824.0,824.0,0.0,700.4,123.6,123.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10721940,9197.0,1565.0,7632.0,4960.25,3454.25,782.5,2671.75,0.0,0.0,0.0,7632.0,2671.75,0.0
10721958,51803.8,51803.8,0.0,31873.75,18522.05,18522.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10722308,1250.0,1250.0,0.0,,1250.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10722326,497.0,497.0,0.0,422.45,74.55,74.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10722458,3381.0,3381.0,0.0,2873.85,507.15,507.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10722575,1198.0,1198.0,0.0,958.4,239.6,239.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10722593,5995.0,5995.0,0.0,2523.6,2576.9,2576.9,0.0,10.07,10.07,0.0,0.0,0.0,0.0
10723076,1619.0,324.0,1295.0,777.0,680.0,162.0,518.0,0.0,0.0,0.0,1295.0,518.0,0.0
10723108,2494.0,499.0,1995.0,1197.0,1047.5,249.5,798.0,0.0,0.0,0.0,1995.0,798.0,0.0
10723429,2000.0,2000.0,0.0,,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10723943,4497.6,4497.6,0.0,3148.32,1349.28,1349.28,0.0,1349.28,1349.28,0.0,0.0,0.0,0.0
10724062,6790.0,6790.0,0.0,5764.1,1025.9,1025.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10724179,304.0,304.0,0.0,258.4,45.6,45.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10724212,9370.0,9370.0,0.0,7921.2,1448.8,1448.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10724361,0.0,0.0,0.0,1650.0,-1650.0,-1650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10724579,5625.0,,5625.0,3375.0,2250.0,,2250.0,0.0,,0.0,5625.0,2250.0,0.0
10725130,3500.0,3500.0,0.0,,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10725751,2820.0,2820.0,0.0,1692.0,1128.0,1128.0,0.0,25.27,25.27,0.0,0.0,0.0,0.0
10725869,5043.0,5043.0,0.0,3025.8,2017.2,2017.2,0.0,45.18,45.18,0.0,0.0,0.0,0.0
10726001,3537.0,3537.0,0.0,1697.76,1485.54,1485.54,0.0,25.35,25.35,0.0,0.0,0.0,0.0
10726151,2494.0,499.0,1995.0,1197.0,1047.5,249.5,798.0,0.0,0.0,0.0,1995.0,798.0,0.0
10726383,32457.69,4830.0,27627.69,16581.6,13461.09,2415.0,11046.09,0.0,0.0,0.0,27627.69,11046.09,0.0
10726402,8100.0,,8100.0,3355.0,4745.0,,4745.0,0.0,,0.0,8100.0,4745.0,0.0
10726520,1470.0,1470.0,0.0,1249.5,220.5,220.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10726569,148.0,148.0,0.0,118.4,29.6,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10727555,2978.0,388.0,2590.0,1554.0,1230.0,194.0,1036.0,0.0,0.0,0.0,2590.0,1036.0,0.0
10727787,900.0,900.0,0.0,,900.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10728256,1500.0,1500.0,0.0,,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10728692,476.0,476.0,0.0,404.6,71.4,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10729595,1057.5,1057.5,0.0,507.6,444.15,444.15,0.0,7.58,7.58,0.0,0.0,0.0,0.0
10730245,648.0,,648.0,324.0,324.0,,324.0,0.0,,0.0,648.0,324.0,0.0
10730563,1190.0,1190.0,0.0,1011.5,178.5,178.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10731885,5012.94,,5012.94,2956.47,2056.47,,2056.47,0.0,,0.0,5012.94,2056.47,0.0
10732486,1619.0,324.0,1295.0,777.0,680.0,162.0,518.0,0.0,0.0,0.0,1295.0,518.0,0.0
10732654,34424.9,34424.9,0.0,20610.45,13173.45,13173.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10734125,2010.0,2010.0,0.0,1380.0,630.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10734707,2000.0,2000.0,0.0,,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10735211,2552.0,2552.0,0.0,2169.2,382.8,382.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10735411,589.5,589.5,0.0,,294.75,294.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10735626,7120.3,1320.0,5800.3,3452.08,3008.22,660.0,2348.22,0.0,0.0,0.0,5800.3,2348.22,0.0
10735861,69626.42,11261.0,58365.42,35021.1,28974.82,5630.5,23344.32,0.0,0.0,0.0,58365.42,23344.32,0.0
10735994,384.0,384.0,0.0,,384.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10736830,19312.5,0.0,19312.5,11587.5,7725.0,0.0,7725.0,0.0,0.0,0.0,19312.5,7725.0,0.0
10737183,237.0,237.0,0.0,161.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10738001,1017.0,1017.0,0.0,862.9,154.1,154.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10738233,5814.0,5814.0,0.0,4367.07,1446.93,1446.93,0.0,16.3,16.3,0.0,0.0,0.0,0.0
10740506,385.0,385.0,0.0,,385.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10740509,1869.0,374.0,1495.0,897.0,785.0,187.0,598.0,0.0,0.0,0.0,1495.0,598.0,0.0
10740759,1495.0,1495.0,0.0,,1495.0,1495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10741359,20000.0,20000.0,0.0,,20000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10741595,3075.84,3075.84,0.0,1845.5,1230.34,1230.34,0.0,28.14,28.14,0.0,0.0,0.0,0.0
10742228,3438.0,3438.0,0.0,2922.3,515.7,515.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10742545,60.0,60.0,0.0,,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10742678,318.0,318.0,0.0,270.3,47.7,47.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10742964,716.0,716.0,0.0,608.6,107.4,107.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10743314,8976.0,8976.0,0.0,4309.2,3769.8,3769.8,0.0,64.54,64.54,0.0,0.0,0.0,0.0
10743564,5312.81,1062.0,4250.81,2550.23,2231.58,531.0,1700.58,0.0,0.0,0.0,4250.81,1700.58,0.0
10743800,123257.85,80945.52,42312.33,69842.59,48142.27,30012.42,18129.85,3941.59,3941.59,0.0,42312.33,18129.85,0.0
10743817,1614.97,,1614.97,888.23,726.74,,726.74,0.0,,0.0,1614.97,726.74,0.0
10744854,1210.21,,1210.21,665.62,544.59,,544.59,0.0,,0.0,1210.21,544.59,0.0
10745304,4828.5,966.0,3862.5,2317.5,2028.0,483.0,1545.0,0.0,0.0,0.0,3862.5,1545.0,0.0
10745653,3990.0,3990.0,0.0,,3990.0,3990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10745889,2000.0,2000.0,0.0,,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10745890,6219.0,6219.0,0.0,3778.36,2238.14,2238.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10746007,647.0,647.0,0.0,517.6,129.4,129.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10746222,22800.0,22800.0,0.0,,22800.0,22800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10747243,50248.39,,50248.39,30157.8,20090.59,,20090.59,0.0,,0.0,50248.39,20090.59,0.0
10747558,37543.5,,37543.5,26153.28,11390.22,,11390.22,0.0,,0.0,37543.5,11390.22,0.0
10748212,11542.25,,11542.25,9233.79,2308.46,,2308.46,0.0,,0.0,11542.25,2308.46,0.0
10749483,2684.0,2684.0,0.0,2281.4,402.6,402.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10749733,12143.61,1584.0,10559.61,6335.32,5016.29,792.0,4224.29,0.0,0.0,0.0,10559.61,4224.29,0.0
10750519,299.0,299.0,0.0,194.35,104.65,104.65,0.0,104.65,104.65,0.0,0.0,0.0,0.0
10750633,942.0,942.0,0.0,800.7,141.3,141.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10750651,1012.67,1012.67,0.0,639.65,373.02,373.02,0.0,373.02,373.02,0.0,0.0,0.0,0.0
10750787,1030.0,1030.0,0.0,818.0,212.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10750901,151570.87,20931.0,130639.87,77754.09,63351.28,10465.5,52885.78,0.0,0.0,0.0,130639.87,52885.78,0.0
10751038,462.0,462.0,0.0,385.3,76.7,76.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10751352,1194.0,1194.0,0.0,955.2,238.8,238.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10752291,4050.0,4050.0,0.0,,4050.0,4050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10753142,8640.0,8640.0,0.0,4147.2,3628.8,3628.8,0.0,61.93,61.93,0.0,0.0,0.0,0.0
10753845,1869.0,374.0,1495.0,897.0,785.0,187.0,598.0,0.0,0.0,0.0,1495.0,598.0,0.0
10754514,1995.0,1995.0,0.0,,1995.0,1995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10757203,516.0,516.0,0.0,309.6,206.4,206.4,0.0,4.62,4.62,0.0,0.0,0.0,0.0
10757421,108048.51,108048.51,0.0,64074.49,43974.02,43974.02,0.0,33.29,33.29,0.0,0.0,0.0,0.0
10757803,4233.0,648.0,3585.0,2151.0,1758.0,324.0,1434.0,0.0,0.0,0.0,3585.0,1434.0,0.0
10758054,1869.0,374.0,1495.0,897.0,785.0,187.0,598.0,0.0,0.0,0.0,1495.0,598.0,0.0
10758489,1619.0,324.0,1295.0,777.0,680.0,162.0,518.0,0.0,0.0,0.0,1295.0,518.0,0.0
10758740,3525.0,3525.0,0.0,1692.0,1480.5,1480.5,0.0,25.27,25.27,0.0,0.0,0.0,0.0
10758876,499.0,499.0,0.0,258.95,190.05,190.05,0.0,140.05,140.05,0.0,0.0,0.0,0.0
10759325,1869.0,374.0,1495.0,897.0,785.0,187.0,598.0,0.0,0.0,0.0,1495.0,598.0,0.0
10759608,60408.37,18157.88,42250.49,32553.25,25516.62,6863.04,18653.58,0.0,0.0,0.0,42250.49,18653.58,0.0
10759994,15517.73,2475.0,13042.73,7826.03,6454.2,1237.5,5216.7,0.0,0.0,0.0,13042.73,5216.7,0.0
10760112,10671.06,10671.06,0.0,6684.64,3792.92,3792.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10760561,864.0,864.0,0.0,734.4,129.6,129.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10760811,10972.75,10972.75,0.0,,10972.75,10972.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10760812,45060.62,9424.0,35636.62,21866.49,18482.13,4712.0,13770.13,0.0,0.0,0.0,35636.62,13770.13,0.0
10761248,1596.0,1596.0,0.0,1035.8,560.2,560.2,0.0,560.2,560.2,0.0,0.0,0.0,0.0
10761666,8039.0,8039.0,0.0,4929.24,2882.26,2882.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10761683,26461.0,7677.0,18784.0,17640.49,7377.01,37.05,7339.96,0.0,0.0,0.0,18784.0,7339.96,0.0
10761915,537.0,537.0,0.0,453.4,83.6,83.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
