Sales_Order,new_revenue,legacy_revenue,revenue_diff,new_amount2,new_gp,legacy_gp,gp_diff,new_term_gp,legacy_term_gp,term_gp_diff,abs_revenue_diff,abs_gp_diff,abs_term_gp_diff
1345931,5814.0,5814.0,0.0,3778.36,2035.64,2035.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1345934,36709.0,,36709.0,23860.85,12848.15,,12848.15,0.0,,0.0,36709.0,12848.15,0.0
1345939,1125.62,1072.02,53.6,953.46,172.16,163.96,8.2,0.0,0.0,0.0,53.6,8.2,0.0
1345940,3520.0,3520.0,0.0,2610.0,910.0,910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1345975,299.0,299.0,0.0,194.35,104.65,104.65,0.0,104.65,104.65,0.0,0.0,0.0,0.0
1345983,1495.0,1495.0,0.0,941.85,553.15,553.15,0.0,397.67,397.67,0.0,0.0,0.0,0.0
1345987,1768.5,1768.5,0.0,848.88,742.77,742.77,0.0,198.07,198.07,0.0,0.0,0.0,0.0
1345994,2220.0,2220.0,0.0,1332.0,888.0,888.0,0.0,352.76,352.76,0.0,0.0,0.0,0.0
1345999,6803.98,6803.98,0.0,4235.5,2423.48,2423.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346034,1648.5,1570.0,78.5,1401.23,247.27,235.5,11.77,0.0,0.0,0.0,78.5,11.77,0.0
1346039,8000.0,8000.0,0.0,,8000.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346040,1388.1,1322.0,66.1,1160.57,227.53,216.7,10.83,0.0,0.0,0.0,66.1,10.83,0.0
1346045,7536.0,7536.0,0.0,4898.4,2637.6,2637.6,0.0,2637.6,2637.6,0.0,0.0,0.0,0.0
1346050,2000.0,2000.0,0.0,,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346063,4785.48,4557.6,227.88,4067.66,717.82,683.64,34.18,0.0,0.0,0.0,227.88,34.18,0.0
1346067,898.8,856.0,42.8,763.98,134.82,128.4,6.42,0.0,0.0,0.0,42.8,6.42,0.0
1346073,4699.8,4476.0,223.8,3994.83,704.97,671.4,33.57,0.0,0.0,0.0,223.8,33.57,0.0
1346081,3234.0,3234.0,0.0,,3234.0,3234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346096,5895.0,5895.0,0.0,3065.41,2240.09,2240.09,0.0,1650.59,1650.59,0.0,0.0,0.0,0.0
1346108,7476.0,1496.0,5980.0,3588.0,3140.0,748.0,2392.0,0.0,0.0,0.0,5980.0,2392.0,0.0
1346130,6726.0,1346.0,5380.0,3228.0,2825.0,673.0,2152.0,0.0,0.0,0.0,5380.0,2152.0,0.0
1346135,1710.0,1710.0,0.0,,1710.0,1710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346152,5002.5,5002.5,0.0,1181.99,864.51,864.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346153,2152.85,2152.85,0.0,1507.0,645.85,645.85,0.0,645.85,645.85,0.0,0.0,0.0,0.0
1346159,4508.0,4508.0,0.0,2796.88,1609.12,1609.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346162,26197.88,2942.0,23255.88,13607.97,11118.91,1471.0,9647.91,0.0,0.0,0.0,23255.88,9647.91,0.0
1346163,150.0,,150.0,,150.0,,150.0,0.0,,0.0,150.0,150.0,0.0
1346169,14438.48,14438.48,0.0,8747.8,5276.18,5276.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346176,1048.31,,1048.31,681.4,366.91,,366.91,0.0,,0.0,1048.31,366.91,0.0
1346187,9995.0,9995.0,0.0,6374.82,3526.68,3526.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346192,1895.25,0.0,1895.25,1197.0,698.25,0.0,698.25,0.0,0.0,0.0,1895.25,698.25,0.0
1346193,1250.0,,1250.0,750.0,500.0,,500.0,0.0,,0.0,1250.0,500.0,0.0
1346199,439.14,439.14,0.0,,439.14,439.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346203,2524.02,,2524.02,2018.98,505.04,,505.04,0.0,,0.0,2524.02,505.04,0.0
1346207,5607.0,1122.0,4485.0,2691.0,2355.0,561.0,1794.0,0.0,0.0,0.0,4485.0,1794.0,0.0
1346211,7479.48,972.0,6507.48,3905.99,3087.49,486.0,2601.49,0.0,0.0,0.0,6507.48,2601.49,0.0
1346216,9012.62,1197.0,7815.62,4689.75,3724.37,598.5,3125.87,0.0,0.0,0.0,7815.62,3125.87,0.0
1346229,907.2,864.0,43.2,771.12,136.08,129.6,6.48,0.0,0.0,0.0,43.2,6.48,0.0
1346261,12177.0,12177.0,0.0,7476.3,4363.2,4363.2,0.0,4025.7,4025.7,0.0,0.0,0.0,0.0
1346266,1852.2,1764.0,88.2,1523.81,328.39,312.75,15.64,0.0,0.0,0.0,88.2,15.64,0.0
1346288,2436.0,314.0,2122.0,1273.2,1005.8,157.0,848.8,0.0,0.0,0.0,2122.0,848.8,0.0
1346309,7433.0,7433.0,0.0,5460.06,1972.94,1972.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346310,555.8,555.8,0.0,,555.8,555.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346322,6513.98,6513.98,0.0,4235.5,2278.48,2278.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346323,11700.0,11700.0,0.0,,11700.0,11700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346334,12000.0,12000.0,0.0,,12000.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346359,1497.0,1497.0,0.0,,1497.0,1497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346364,2986.2,2844.0,142.2,,2986.2,2844.0,142.2,0.0,0.0,0.0,142.2,142.2,0.0
1346377,3882.0,527.0,3355.0,1603.55,2014.95,263.5,1751.45,0.0,0.0,0.0,3355.0,1751.45,0.0
1346387,5381.75,1121.0,4260.75,2556.45,2264.8,560.5,1704.3,0.0,0.0,0.0,4260.75,1704.3,0.0
1346396,6513.98,6513.98,0.0,4260.62,2253.36,2253.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346402,20900.6,20900.6,0.0,14320.92,5669.68,5669.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346405,1762.5,1762.5,0.0,846.0,740.25,740.25,0.0,197.4,197.4,0.0,0.0,0.0,0.0
1346420,6229.2,6229.2,0.0,4048.31,2180.89,2180.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346424,264.0,264.0,0.0,171.6,92.4,92.4,0.0,92.4,92.4,0.0,0.0,0.0,0.0
1346428,56549.41,23854.96,32694.45,31544.0,22687.41,9041.36,13646.05,0.0,0.0,0.0,32694.45,13646.05,0.0
1346445,1995.0,1995.0,0.0,,1995.0,1995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346460,75231.81,75231.81,0.0,64534.98,10696.83,10696.83,0.0,10696.83,10696.83,0.0,0.0,0.0,0.0
1346468,6000.0,6000.0,0.0,,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346472,7093.98,7093.98,0.0,4235.5,2568.48,2568.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346503,907.2,864.0,43.2,771.12,136.08,129.6,6.48,0.0,0.0,0.0,43.2,6.48,0.0
1346505,7093.98,7093.98,0.0,4235.5,2568.48,2568.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346519,2709.0,2580.0,129.0,2492.28,216.72,206.4,10.32,0.0,0.0,0.0,129.0,10.32,0.0
1346529,2500.0,2500.0,0.0,,2500.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346532,320.0,320.0,0.0,,320.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346538,23053.0,4613.0,18440.0,11064.0,9682.5,2306.5,7376.0,0.0,0.0,0.0,18440.0,7376.0,0.0
1346540,4995.0,4995.0,0.0,3617.7,1377.3,1377.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346546,23664.0,14648.0,9016.0,13926.28,8609.72,5483.4,3126.32,0.0,0.0,0.0,9016.0,3126.32,0.0
1346563,1869.0,374.0,1495.0,845.2,836.8,187.0,649.8,0.0,0.0,0.0,1495.0,649.8,0.0
1346565,14229.0,,14229.0,8565.16,5663.84,,5663.84,0.0,,0.0,14229.0,5663.84,0.0
1346574,6513.98,6513.98,0.0,4235.5,2278.48,2278.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346592,7150.0,7150.0,0.0,5362.5,1787.5,1787.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346598,1869.0,374.0,1495.0,897.0,785.0,187.0,598.0,0.0,0.0,0.0,1495.0,598.0,0.0
1346602,9335.36,1867.0,7468.36,4505.54,3896.32,933.5,2962.82,0.0,0.0,0.0,7468.36,2962.82,0.0
1346614,6803.98,6803.98,0.0,4235.5,2423.48,2423.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346627,13143.0,2630.0,10513.0,6488.98,5339.02,1315.0,4024.02,0.0,0.0,0.0,10513.0,4024.02,0.0
1346634,1619.0,324.0,1295.0,777.0,680.0,162.0,518.0,0.0,0.0,0.0,1295.0,518.0,0.0
