feature,gain
feat_account_age_days,18371434.860614806
feat_days_since_last_activity,0.0
feat_has_email,572277.7103814041
feat_has_phone,373605.32860789855
feat_has_url,36822.407758064975
feat_has_weblead,0.0
feat_contact_score,1953798.8427802098
feat_has_cpe_history,871.7089848991709
feat_has_hw_history,0.0
feat_has_3dx_history,0.0
feat_days_since_first_cpe,0.0
feat_days_since_first_hw,0.0
feat_days_since_first_3dx,0.0
feat_taxable,471595.75401782064
feat_known_competitor,0.0
feat_named_account_cad,2003792.8004555742
feat_named_account_sim,0.0
feat_named_account_am,970.8747785265098
feat_named_account_electrical,0.0
cat_lead_source,291508.8975057602
cat_terms_value,6411559.084884252
cat_stage,0.0
cat_status,3557145.6636860482
cat_territory_standardized,87729625.41899961
cat_territory_name,69124.61229228973
cat_region,18278.19023579359
