overall_rank,group_key,group_rank,group_label,customer_id,customer_name,current_divisions,missing_divisions,top_recommendations,icp_score_cpe,icp_percentile_cpe,icp_grade_cpe,icp_score_solidworks,icp_percentile_solidworks,icp_grade_solidworks,icp_score_printers,icp_percentile_printers,icp_grade_printers,opportunity_score,gross_profit_12m,gross_profit_lifetime,transactions_lifetime,invoices_12m
1,B,1,B. Owns two (missing CPE),14487582,564905 Commonwealth Edison (ComEd) Lab,"Solidworks, Printers",CPE,"CPE (ICP 0.736, grade A)",0.7361,0.9712,A,0.0887,0.9336,A,0.0068,0.7738,B,0.7361,24520.75,24520.75,0,1
2,B,2,B. Owns two (missing CPE),204372,69339 Kellogg Brown & Root LLC,"Solidworks, Printers",CPE,"CPE (ICP 0.732, grade A)",0.732,0.9613,A,0.0807,0.8338,B,0.0071,0.9439,A,0.732,42045.81,42045.81,0,1
3,B,3,B. Owns two (missing CPE),1750087,159584 CitareTx Management LLC,"Solidworks, Printers",CPE,"CPE (ICP 0.317, grade B)",0.317,0.8236,B,0.0767,0.7807,B,0.0068,0.8113,B,0.317,20092.24,20092.24,0,1
4,B,4,B. Owns two (missing Solidworks),511014,115132 General Atomics Aeronautical (Aircraft Division),"CPE, Printers",Solidworks,"Solidworks (ICP 0.072, grade B)",0.0,0.3794,D,0.0723,0.7493,B,0.0071,0.926,A,0.0723,105650.26,105650.26,0,1
5,B,5,B. Owns two (missing CPE),10582803,456929 Inpres Inc,"Solidworks, Printers",CPE,"CPE (ICP 0.030, grade B)",0.0297,0.7914,B,0.0604,0.6047,C,0.0066,0.5236,C,0.0297,46081.62,46081.62,0,1
6,B,6,B. Owns two (missing Solidworks),2557091,176769 Lucid Motors - Newark,"CPE, Printers",Solidworks,"Solidworks (ICP 0.022, grade F)",0.0,0.468,C,0.0221,0.018,F,0.0066,0.3319,D,0.0221,196474.87,227959.97,4,1
7,B,7,B. Owns two (missing Printers),10373777,447883 EO Solutions LLC,"CPE, Solidworks",Printers,"Printers (ICP 0.007, grade A)",0.0001,0.5022,C,0.0807,0.8338,B,0.0071,0.9439,A,0.0071,55700.38,55700.38,0,1
8,B,8,B. Owns two (missing Printers),14760867,568048 D-J Engineering Inc,"CPE, Solidworks",Printers,"Printers (ICP 0.007, grade B)",0.0,0.0,N/A,0.0566,0.4747,C,0.0067,0.7321,B,0.0067,26218.16,26218.16,0,1
9,B,9,B. Owns two (missing Printers),10626777,496190 X-Bow Systems Inc. - Albuquerque NM,"CPE, Solidworks",Printers,"Printers (ICP 0.007, grade C)",0.0001,0.5224,C,0.3442,0.9895,A,0.0066,0.4845,C,0.0066,32062.69,68564.67,8,1
10,B,10,B. Owns two (missing Printers),462805,"111391 BlueHalo Labs LLC- Albuquerque, NM","CPE, Solidworks",Printers,"Printers (ICP 0.007, grade D)",0.0016,0.6169,C,0.5908,0.9987,A,0.0066,0.387,D,0.0066,28439.04,40265.8,3,1
11,B,11,B. Owns two (missing Printers),233016,77988 Borsight Inc,"CPE, Solidworks",Printers,"Printers (ICP 0.007, grade D)",0.0,0.1573,F,0.0343,0.1855,F,0.0066,0.3868,D,0.0066,11757.39,40357.93,5,1
12,B,12,B. Owns two (missing Printers),10595215,468274 Aevex Aerospace Engineering & Technology,"CPE, Solidworks",Printers,"Printers (ICP 0.007, grade D)",0.0001,0.5168,C,0.0565,0.3529,D,0.0066,0.3281,D,0.0066,39811.28,74248.15,7,1
13,B,13,B. Owns two (missing Printers),11719148,"547020 Mytra, Inc.","CPE, Solidworks",Printers,"Printers (ICP 0.007, grade D)",0.0,0.4682,C,0.2292,0.9878,A,0.0066,0.3264,D,0.0066,48329.15,70944.27,6,2
14,B,14,B. Owns two (missing Printers),10628929,"498242 Custom Microwave, Inc.","CPE, Solidworks",Printers,"Printers (ICP 0.007, grade D)",0.0205,0.7752,B,0.0517,0.3446,D,0.0066,0.2963,D,0.0066,15946.0,32390.36,1,1
15,B,15,B. Owns two (missing Printers),8404637,414490 Hexagon Masterworks Inc,"CPE, Solidworks",Printers,"Printers (ICP 0.007, grade D)",0.0202,0.775,B,0.5839,0.9968,A,0.0066,0.2932,D,0.0066,23429.84,34178.04,1,1
16,B,16,B. Owns two (missing Printers),7834539,"322667 Brunk Industries, Inc","CPE, Solidworks",Printers,"Printers (ICP 0.007, grade D)",0.0,0.3652,D,0.3764,0.9898,A,0.0066,0.2144,D,0.0066,15110.5,29113.61,2,1
17,B,17,B. Owns two (missing Printers),10594481,467540 Whoop Inc,"CPE, Solidworks",Printers,"Printers (ICP 0.007, grade F)",0.0,0.4089,C,0.0547,0.3503,D,0.0066,0.0788,F,0.0066,32652.0,48142.56,1,1
18,B,18,B. Owns two (missing CPE),14635886,565795 Prema Racing LLC,"Solidworks, Printers",CPE,"CPE (ICP 0.005, grade B)",0.0046,0.708,B,0.0758,0.7595,B,0.0069,0.8637,B,0.0046,36787.31,36787.31,0,1
19,B,19,B. Owns two (missing CPE),10161607,444899 NPSG Global LLC,"Solidworks, Printers",CPE,"CPE (ICP 0.004, grade C)",0.0036,0.6899,C,0.0693,0.728,B,0.0066,0.4969,C,0.0036,28644.64,28644.64,0,1
20,B,20,B. Owns two (missing CPE),8469,7362 Ottobock Healthcare,"Solidworks, Printers",CPE,"CPE (ICP 0.000, grade C)",0.0003,0.5482,C,0.0221,0.018,F,0.0066,0.3048,D,0.0003,46813.15,48107.05,2,1
21,B,21,B. Owns two (missing CPE),5348049,275844 Liberty Pattern Co Inc,"Solidworks, Printers",CPE,"CPE (ICP 0.000, grade C)",0.0,0.4725,C,0.0887,0.9336,A,0.0069,0.8786,B,0.0,27650.86,27650.86,0,2
22,B,22,B. Owns two (missing CPE),10577738,452471 Univ. of Wisconsin - Madison,"Solidworks, Printers",CPE,"CPE (ICP 0.000, grade C)",0.0,0.4643,C,0.0566,0.4747,C,0.0069,0.8945,B,0.0,13635.5,14579.4,0,1
